Max length of data in # of  characters,"Original from 1995, updated by NF 4/19/2016, CH added new variables and max. character check 7/06/2022 by NF.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,9 Chars,14 Chars,33 Chars,8 Chars,6 Chars,6 Chars,1,2,6 Chars,8 Chars,16 Chars,7 Chars,6 Chars,3,6 Chars,6 Chars,1,2,6 Chars,8 Chars,16 Chars,7 Chars,6 Chars,3,4 Chars,200 Chars,2 Chars,6 Chars,,,,80 Chars,7 Chars,6 Chars,6 Chars,6 Chars,,,,,,,
,,,,, - - -          Origin Termination Point          - - -,,,,,,,,,, - - -  Destination Termination Point  - - -,,,,,,,,,, ,,,,,,,,,,,,,,,,,,
,Cable #,Formal Device Name,Cable Function,Cable Type,Loc,Rack,Sid,Ele,Slot,Conn #,Pin List,Conn. Type,Station,Ins,Loc,Rack,Sid,Ele,Slot,Conn #,Pin List,Conn. Type,Station,Ins,Length,Routing,Revision,Job #,Drawing #,Drawing Title,User ID,List Title,Area Cd,Min Length,Max Length,Additional cable length required,Phase,Beam Line Area,Sector Group,Sector Area Source,Sector Area Dest,Penetration,Penetration II
1,Testeeeee,Test,TEST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
